Titre;Titre VO;Réalisateur;Date de sortie;Pays
Mekong Stories;Cha va con va;Phan Dang Di;;Vietnam
Metropolis;Metropolis;Fritz Lang;10/01/1927;Allemagne
Midnight Special;Midnight Special;Jeff Nichols;;Etats-Unis
Millennium Actress;Sennen Joyu;Satoshi Kon;14/09/2002;Japon
Minority Report;Minority Report;Steven Spielberg;19/06/2002;Etats-Unis
Miss Sloane;Miss Sloane;John Madden;06/12/2016;Etats-Unis
Mister Babadook;The Babadook;Jennifer Kent;;Etats-Unis
Moi, Tonya;I, Tonya;Craig Gillespie;08/12/2017;Etats-Unis
Mommy;Mommy;Xavier Dolan;19/09/2014;Canada
Monsieur & Madame Adelman;Monsieur & Madame Adelman;Nicolas Bedos;;France
Moonrise Kingdom;Moonrise Kingdom;Wes Anderson;16/05/2012;Etats-Unis
New York Masala;Kal Ho Naa Ho;Nikhil Advani;27/11/2003;Inde
No Country for Old Men;No Country for Old Men;Joel et Ethan Coen;18/05/2007;Etats-Unis
Nope;Nope;Jordan Peele;22/07/2022;Etats-Unis
Notre petite soeur;Umimachi Diary;Koreeda Hirokazu;13/06/2015;Japon
Nous trois ou rien;Nous trois ou rien;Kheiron;04/11/2015;France
Numéro 9;9;Shane Acker;19/08/2009;Etats-Unis
Ocean's 13;Ocean's 13;Steven Soderbergh;20/06/2007;Etats-Unis
Ocean's 8;Ocean's 8;Gary Ross;;Etats-Unis
Ocean's Eleven;Ocean's Eleven;Steven Soderbergh;06/12/2001;Etats-Unis
Ocean's Twelve;Ocean's Twelve;Steven Soderbergh;;Etats-Unis
Old;Old;M. Night Shyamalan;;Etats-Unis
Old Boy;Old Boy;Park Chan-wook;28/09/2004;Corée
Palm Springs;Palm Springs;Max Barbakow;10/07/2020;Etats-Unis
Parasite;Gisaengchung;Bong Joon-ho;;Corée
Persepolis;Persepolis;Marjane Satrapi;27/06/2007;France
Photo Obsession;One Hour Photo;Mark Romanek;13/09/2002;Etats-Unis
Pingouin & Goéland et leurs 500 petits;Pingouin & Goéland et leurs 500 petits;Michel Leclerc;03/11/2021;France
Pirates des Caraibes : Jusqu'au bout du monde;Pirates of the Caribbean : At World's End;Gore Verbinski;24/05/2007;Etats-Unis
Pitch Perfect;Pitch Perfect;Jason Moore;;Etats-Unis
Pitch Perfect 2;Pitch Perfect 2;Elizabeth Banks;;Etats-Unis
Pokémon: Détective Pikachu;Pokémon: Detective Pikachu;Rob Letterman;03/05/2019;Etats-Unis
Pompoko;Heisei tanuki gassen ponpoko;Hayao Miyazaki;16/07/1994;Japon
Ponyo sur la falaise;Gake no ue no Ponyo;Hayao Miyazaki;19/07/2008;Japon
Portrait de la jeune fille en feu;Portrait de la jeune fille en feu;Céline Sciamma;18/09/2019;France
Premier Contact;Arrival;Denis Villeneuve;11/1/2016;Etats-Unis
Princesse Mononoké;Mononoke hime;Hayao Miyazaki;12/07/1997;Japon
Priscilla Folle du Désert;The Adventures of Priscilla, Queen of the Desert;Stephan Elliott;15/05/1994;Australie
